net,length_um
net12,149.36µm
net8,100.06µm
net11,96.68µm
net7,94.68µm
net13,86.22µm
net10,83.58µm
net17,82.98µm
clknet_2_1__leaf_clk_i,79.22µm
clknet_2_2__leaf_clk_i,79.22µm
net15,78.63µm
net16,76.83µm
clknet_2_3__leaf_clk_i,72.62µm
rng_rd.cache\[1\],71.16µm
clknet_2_0__leaf_clk_i,66.96µm
rng_rd.cache\[0\],58.36µm
net9,54.94µm
net2,54.48µm
clk_i,50.87µm
net14,50.12µm
clknet_0_clk_i,49.4µm
net5,45.74µm
rng_rd.ram_1\[1\],39.52µm
_035_,39.34µm
net3,32.06µm
rng_rd.ram_6\[2\],29.28µm
net4,27.32µm
net41,26.88µm
rng_rd.ram_5\[2\],26.62µm
net6,26.12µm
rng_rd.ram_4\[1\],25.84µm
rng_rd.ram_2\[1\],25.1µm
rng_rd.ram_1\[2\],24.78µm
req_num,23.72µm
rng_rd.ram_7\[2\],22.84µm
num_i_bar\[0\],22.72µm
rng_rd.ram_5\[1\],22.02µm
rng_rd.ram_6\[0\],19.08µm
rng_rd.wr_pulse,18.52µm
rng_rd.ram_3\[1\],18.4µm
_067_,18.38µm
_041_,17.9µm
net20,17.82µm
net42,17.66µm
rng_rd.ram_7\[0\],17.02µm
_071_,16.84µm
rng_rd.ram_6\[1\],16.76µm
_048_,15.92µm
_050_,15.16µm
net46,14.96µm
_077_,14.84µm
_032_,14.63µm
rng_rd.ram_3\[0\],14.42µm
rng_rd.ram_4\[2\],14.38µm
net26,14.3µm
net36,14.08µm
net19,13.88µm
_061_,13.64µm
_046_,13.54µm
rng_rd.ram_2\[2\],13.54µm
_033_,13.52µm
_000_,13.16µm
net39,13.04µm
rng_rd.ram_7\[1\],12.62µm
net30,12.3µm
_022_,12.28µm
_034_,12.265µm
num_i_bar\[1\],11.88µm
_068_,11.695µm
net47,11.66µm
net54,11.66µm
net34,11.44µm
rng_rd.ram_5\[0\],11.42µm
_075_,11.24µm
net32,11.12µm
_049_,10.44µm
net37,10.44µm
net57,10.14µm
_051_,9.82µm
num_to_send_o[1],9.64µm
req_num_i,9.64µm
rng_rd.wr_ff2,9.52µm
_036_,9.46µm
rng_rd.ram_2\[0\],9.42µm
rng_rd.req_num,9.18µm
rng_rd.ram_1\[0\],9.04µm
_059_,9µm
net22,9µm
rng_rd.ram_3\[2\],8.78µm
_052_,8.7µm
net33,8.56µm
net18,8.18µm
_030_,8.1µm
net28,7.82µm
_019_,7.64µm
net24,7.48µm
rng_rd.cache\[2\],7.26µm
_008_,7.22µm
_066_,7.195µm
_007_,7.18µm
_073_,7.18µm
_056_,6.82µm
_015_,6.72µm
_074_,6.52µm
net52,6.5µm
rng_rd.wr_ff1,6.26µm
_028_,6.045µm
_023_,6.02µm
net40,6.02µm
_063_,5.95µm
_004_,5.92µm
_043_,5.86µm
_058_,5.8µm
_078_,5.72µm
_003_,5.6µm
_054_,5.57µm
_029_,5.56µm
net29,5.52µm
_017_,5.46µm
_011_,5.36µm
_018_,5.34µm
num_to_send_o[0],5.07µm
num_to_send_o[2],5.07µm
_014_,5.04µm
net49,5.03µm
_057_,5.025µm
_070_,5.02µm
rng_rd.wr_ff2_d,4.92µm
_065_,4.8µm
net56,4.68µm
wr_i,4.61µm
net38,4.54µm
_064_,4.48µm
net58,4.34µm
net48,4.24µm
_062_,4.22µm
net44,4.2µm
net51,4.2µm
_060_,4.14µm
_076_,4.14µm
_055_,4.12µm
net53,4.12µm
_020_,4µm
rng_rd.ram_4\[0\],4µm
rst_i,3.93µm
_038_,3.79µm
net25,3.66µm
_001_,3.54µm
_047_,3.32µm
net50,3.22µm
_012_,3.2µm
_025_,3.2µm
_069_,3.18µm
_013_,3.08µm
_037_,2.96µm
_042_,2.96µm
net27,2.96µm
net35,2.84µm
_044_,2.76µm
net21,2.76µm
_002_,2.74µm
_021_,2.74µm
_027_,2.74µm
_040_,2.68µm
_053_,2.62µm
num_i_bar\[2\],2.62µm
net23,2.62µm
net43,2.4µm
_026_,2.38µm
_039_,2.3µm
_024_,2.16µm
net31,2.16µm
net45,2.16µm
_010_,1.82µm
_072_,1.72µm
_005_,1.7µm
_009_,1.7µm
net55,1.48µm
_016_,1.36µm
_045_,1.26µm
net1,1.26µm
_006_,0.8µm
_031_,0.8µm
