Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_113,VPWR,li1,60.2600,73.4400,1.800000
FILLER_22_111,VPWR,li1,56.8100,73.4400,1.800000
FILLER_22_109,VPWR,li1,56.1200,73.4400,1.800000
FILLER_22_97,VPWR,li1,52.9000,73.4400,1.800000
FILLER_22_85,VPWR,li1,47.3800,73.4400,1.800000
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.800000
FILLER_22_81,VPWR,li1,43.2400,73.4400,1.800000
FILLER_22_69,VPWR,li1,40.0200,73.4400,1.800000
FILLER_22_57,VPWR,li1,34.5000,73.4400,1.800000
FILLER_22_54,VPWR,li1,30.8200,73.4400,1.800000
FILLER_22_42,VPWR,li1,27.6000,73.4400,1.800000
FILLER_22_37,VPWR,li1,22.7700,73.4400,1.800000
FILLER_22_29,VPWR,li1,20.7000,73.4400,1.800000
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.800000
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.800000
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.800000
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.799999
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.799999
FILLER_21_99,VPWR,li1,53.8200,68.0000,1.799999
FILLER_21_87,VPWR,li1,48.3000,68.0000,1.799999
FILLER_21_78,VPWR,li1,41.6300,68.0000,1.799999
FILLER_21_76,VPWR,li1,40.9400,68.0000,1.799999
FILLER_21_59,VPWR,li1,32.8900,68.0000,1.800000
FILLER_21_57,VPWR,li1,32.2000,68.0000,1.800000
FILLER_21_46,VPWR,li1,27.1400,68.0000,1.800000
FILLER_21_36,VPWR,li1,22.5400,68.0000,1.800000
FILLER_21_32,VPWR,li1,21.1600,68.0000,1.800000
FILLER_21_15,VPWR,li1,14.2600,68.0000,1.800000
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.800000
FILLER_20_113,VPWR,li1,60.2600,68.0000,1.799999
FILLER_20_42,VPWR,li1,25.3000,68.0000,1.800000
FILLER_20_38,VPWR,li1,23.9200,68.0000,1.800000
FILLER_20_7,VPWR,li1,8.9700,68.0000,1.800000
FILLER_20_3,VPWR,li1,7.8200,68.0000,1.800000
FILLER_19_113,VPWR,li1,60.2600,62.5600,1.800000
FILLER_19_111,VPWR,li1,56.8100,62.5600,1.800000
FILLER_19_109,VPWR,li1,56.1200,62.5600,1.800000
FILLER_19_105,VPWR,li1,54.7400,62.5600,1.800000
FILLER_19_93,VPWR,li1,51.0600,62.5600,1.800000
FILLER_19_82,VPWR,li1,43.7000,62.5600,1.800000
FILLER_19_78,VPWR,li1,42.3200,62.5600,1.800000
FILLER_19_68,VPWR,li1,37.0300,62.5600,1.800000
FILLER_19_66,VPWR,li1,36.3400,62.5600,1.800000
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.800000
FILLER_19_51,VPWR,li1,29.9000,62.5600,1.800000
FILLER_18_124,VPWR,li1,62.7900,62.5600,1.800000
FILLER_18_112,VPWR,li1,59.8000,62.5600,1.800000
FILLER_18_100,VPWR,li1,54.2800,62.5600,1.800000
FILLER_18_63,VPWR,li1,34.7300,62.5600,1.800000
FILLER_18_59,VPWR,li1,33.5800,62.5600,1.800000
FILLER_18_38,VPWR,li1,23.2300,62.5600,1.800000
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.800000
FILLER_18_23,VPWR,li1,17.0200,62.5600,1.800000
FILLER_17_113,VPWR,li1,60.2600,57.1200,1.799999
FILLER_17_111,VPWR,li1,56.8100,57.1200,1.799999
FILLER_17_107,VPWR,li1,55.6600,57.1200,1.799999
FILLER_17_83,VPWR,li1,44.6200,57.1200,1.799999
FILLER_17_65,VPWR,li1,35.8800,57.1200,1.799999
FILLER_17_40,VPWR,li1,24.3800,57.1200,1.800000
FILLER_17_19,VPWR,li1,14.4900,57.1200,1.800000
FILLER_17_9,VPWR,li1,9.8900,57.1200,1.800000
FILLER_17_7,VPWR,li1,9.2000,57.1200,1.800000
FILLER_16_123,VPWR,li1,62.5600,57.1200,1.799999
FILLER_16_119,VPWR,li1,61.1800,57.1200,1.799999
FILLER_16_107,VPWR,li1,57.5000,57.1200,1.799999
FILLER_16_98,VPWR,li1,50.8300,57.1200,1.799999
FILLER_16_96,VPWR,li1,50.1400,57.1200,1.799999
FILLER_16_85,VPWR,li1,45.0800,57.1200,1.799999
FILLER_16_83,VPWR,li1,43.9300,57.1200,1.799999
FILLER_16_81,VPWR,li1,43.2400,57.1200,1.799999
FILLER_16_73,VPWR,li1,39.3300,57.1200,1.799999
FILLER_16_64,VPWR,li1,35.4200,57.1200,1.799999
FILLER_16_56,VPWR,li1,31.5100,57.1200,1.799999
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.800000
FILLER_16_11,VPWR,li1,10.8100,57.1200,1.800000
FILLER_16_3,VPWR,li1,8.7400,57.1200,1.800000
FILLER_15_113,VPWR,li1,60.2600,51.6800,1.799999
FILLER_15_111,VPWR,li1,56.8100,51.6800,1.799999
FILLER_15_109,VPWR,li1,56.1200,51.6800,1.799999
FILLER_15_70,VPWR,li1,37.9500,51.6800,1.799999
FILLER_15_66,VPWR,li1,36.8000,51.6800,1.799999
FILLER_15_57,VPWR,li1,31.9700,51.6800,1.799999
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799999
FILLER_15_48,VPWR,li1,27.8300,51.6800,1.799999
FILLER_15_46,VPWR,li1,27.1400,51.6800,1.799999
FILLER_15_28,VPWR,li1,18.6300,51.6800,1.800000
FILLER_15_24,VPWR,li1,16.7900,51.6800,1.800000
FILLER_15_20,VPWR,li1,15.6400,51.6800,1.800000
FILLER_15_3,VPWR,li1,7.3600,51.6800,1.800000
FILLER_14_121,VPWR,li1,62.1000,51.6800,1.799999
FILLER_14_99,VPWR,li1,51.5200,51.6800,1.799999
FILLER_14_80,VPWR,li1,43.2400,51.6800,1.799999
FILLER_14_71,VPWR,li1,38.6400,51.6800,1.799999
FILLER_14_67,VPWR,li1,37.2600,51.6800,1.799999
FILLER_14_58,VPWR,li1,32.4300,51.6800,1.799999
FILLER_14_44,VPWR,li1,25.9900,51.6800,1.799999
FILLER_14_26,VPWR,li1,17.9400,51.6800,1.800000
FILLER_14_22,VPWR,li1,16.5600,51.6800,1.800000
FILLER_14_3,VPWR,li1,7.1300,51.6800,1.800000
FILLER_13_124,VPWR,li1,62.7900,46.2400,1.799999
FILLER_13_122,VPWR,li1,62.1000,46.2400,1.799999
FILLER_13_113,VPWR,li1,57.7300,46.2400,1.799999
FILLER_13_59,VPWR,li1,32.8900,46.2400,1.799999
FILLER_13_57,VPWR,li1,32.2000,46.2400,1.799999
FILLER_13_30,VPWR,li1,19.5500,46.2400,1.800000
FILLER_13_28,VPWR,li1,18.8600,46.2400,1.800000
FILLER_13_7,VPWR,li1,8.9700,46.2400,1.800000
FILLER_12_123,VPWR,li1,62.5600,46.2400,1.799999
FILLER_12_97,VPWR,li1,50.6000,46.2400,1.799999
FILLER_12_85,VPWR,li1,44.8500,46.2400,1.799999
FILLER_12_82,VPWR,li1,43.7000,46.2400,1.799999
FILLER_12_33,VPWR,li1,20.9300,46.2400,1.800000
FILLER_12_29,VPWR,li1,19.7800,46.2400,1.800000
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.800000
FILLER_12_23,VPWR,li1,17.0200,46.2400,1.800000
FILLER_11_121,VPWR,li1,62.1000,40.8000,1.799999
FILLER_11_104,VPWR,li1,55.2000,40.8000,1.799999
FILLER_11_91,VPWR,li1,47.6100,40.8000,1.799999
FILLER_11_54,VPWR,li1,30.8200,40.8000,1.799999
