Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,21
design__inferred_latch__count,0
design__instance__count,230
design__instance__area,2262.17
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0000019042925032408675
power__switching__total,8.997243412522948E-7
power__leakage__total,2.546254096458256E-9
power__total,0.0000028065630885976134
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25271921381996776
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2521253832628767
timing__hold__ws__corner:nom_tt_025C_1v80,0.33461778739428316
timing__setup__ws__corner:nom_tt_025C_1v80,2498.7126177627474
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.334618
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3121.655518
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25462496720678646
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2540811244427929
timing__hold__ws__corner:nom_ss_100C_1v60,0.8999874988883891
timing__setup__ws__corner:nom_ss_100C_1v60,2497.472066954444
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.899988
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3118.423340
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25248787109066867
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2518767488094801
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12389395415822388
timing__setup__ws__corner:nom_ff_n40C_1v95,2499.0827821168377
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.123894
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,3122.802246
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2520594360133489
clock__skew__worst_setup,0.25163397078270394
timing__hold__ws,0.12008427925262892
timing__setup__ws,2497.4672921071246
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.120084
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3118.366699
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 70.0 85.0
design__core__bbox,5.52 10.88 64.4 73.44
design__io,9
design__die__area,5950
design__core__area,3683.53
design__instance__count__stdcell,230
design__instance__area__stdcell,2262.17
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.61413
design__instance__utilization__stdcell,0.61413
design__instance__count__class:inverter,3
design__instance__count__class:sequential_cell,35
design__instance__count__class:multi_input_combinational_cell,77
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,278
design__instance__count__class:tap_cell,50
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,7
design__io__hpwl,346851
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,2808.23
design__violations,0
design__instance__count__class:timing_repair_buffer,58
design__instance__count__class:clock_buffer,6
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,41
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,182
route__net__special,2
route__drc_errors__iter:1,49
route__wirelength__iter:1,3107
route__drc_errors__iter:2,11
route__wirelength__iter:2,3090
route__drc_errors__iter:3,8
route__wirelength__iter:3,3090
route__drc_errors__iter:4,4
route__wirelength__iter:4,3092
route__drc_errors__iter:5,0
route__wirelength__iter:5,3091
route__drc_errors,0
route__wirelength,3091
route__vias,1078
route__vias__singlecut,1078
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,149.36
timing__unannotated_net__count__corner:nom_tt_025C_1v80,2
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,2
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,2
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2524381053421824
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2520254909434109
timing__hold__ws__corner:min_tt_025C_1v80,0.3292990973109398
timing__setup__ws__corner:min_tt_025C_1v80,2498.714664125884
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.329299
