Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_113,VGND,li1,60.2600,70.7200,0.000000
FILLER_22_111,VGND,li1,56.8100,70.7200,0.000000
FILLER_22_109,VGND,li1,56.1200,70.7200,0.000000
FILLER_22_97,VGND,li1,52.9000,70.7200,0.000000
FILLER_22_85,VGND,li1,47.3800,70.7200,0.000000
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000000
FILLER_22_81,VGND,li1,43.2400,70.7200,0.000000
FILLER_22_69,VGND,li1,40.0200,70.7200,0.000000
FILLER_22_57,VGND,li1,34.5000,70.7200,0.000000
FILLER_22_54,VGND,li1,30.8200,70.7200,0.000000
FILLER_22_42,VGND,li1,27.6000,70.7200,0.000000
FILLER_22_37,VGND,li1,22.7700,70.7200,0.000000
FILLER_22_29,VGND,li1,20.7000,70.7200,0.000000
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000000
FILLER_22_15,VGND,li1,15.1800,70.7200,0.000000
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000000
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000000
FILLER_21_111,VGND,li1,56.8100,70.7200,0.000000
FILLER_21_99,VGND,li1,53.8200,70.7200,0.000000
FILLER_21_87,VGND,li1,48.3000,70.7200,0.000000
FILLER_21_78,VGND,li1,41.6300,70.7200,0.000000
FILLER_21_76,VGND,li1,40.9400,70.7200,0.000000
FILLER_21_59,VGND,li1,32.8900,70.7200,0.000000
FILLER_21_57,VGND,li1,32.2000,70.7200,0.000000
FILLER_21_46,VGND,li1,27.1400,70.7200,0.000000
FILLER_21_36,VGND,li1,22.5400,70.7200,0.000000
FILLER_21_32,VGND,li1,21.1600,70.7200,0.000000
FILLER_21_15,VGND,li1,14.2600,70.7200,0.000000
FILLER_21_3,VGND,li1,9.6600,70.7200,0.000000
FILLER_20_113,VGND,li1,60.2600,65.2800,0.000001
FILLER_20_42,VGND,li1,25.3000,65.2800,0.000000
FILLER_20_38,VGND,li1,23.9200,65.2800,0.000000
FILLER_20_7,VGND,li1,8.9700,65.2800,0.000000
FILLER_20_3,VGND,li1,7.8200,65.2800,0.000000
FILLER_19_113,VGND,li1,60.2600,65.2800,0.000001
FILLER_19_111,VGND,li1,56.8100,65.2800,0.000001
FILLER_19_109,VGND,li1,56.1200,65.2800,0.000001
FILLER_19_105,VGND,li1,54.7400,65.2800,0.000001
FILLER_19_93,VGND,li1,51.0600,65.2800,0.000001
FILLER_19_82,VGND,li1,43.7000,65.2800,0.000001
FILLER_19_78,VGND,li1,42.3200,65.2800,0.000001
FILLER_19_68,VGND,li1,37.0300,65.2800,0.000000
FILLER_19_66,VGND,li1,36.3400,65.2800,0.000000
