Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,27
design__inferred_latch__count,0
design__instance__count,465
design__instance__area,4177.76
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.000003691571009767358
power__switching__total,0.000001937220986292232
power__leakage__total,4.6321750879485535E-9
power__total,0.000005633423825202044
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25588717979918063
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25588717979918063
timing__hold__ws__corner:nom_tt_025C_1v80,0.3190393595167599
timing__setup__ws__corner:nom_tt_025C_1v80,2498.706251299655
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.319039
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3121.121094
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2573605568168306
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2573605568168306
timing__hold__ws__corner:nom_ss_100C_1v60,0.872907715261981
timing__setup__ws__corner:nom_ss_100C_1v60,2497.8022135405245
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.872908
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3117.501953
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25509520218216564
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25509520218216564
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11378925901381773
timing__setup__ws__corner:nom_ff_n40C_1v95,2499.045038085647
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113789
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,3122.412842
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2541707194434141
clock__skew__worst_setup,0.2541707194434141
timing__hold__ws,0.1109135037429505
timing__setup__ws,2497.7840236459747
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110914
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3117.428467
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 115.0 115.0
design__core__bbox,5.52 10.88 109.48 103.36
design__io,9
design__die__area,13225
design__core__area,9614.22
design__instance__count__stdcell,465
design__instance__area__stdcell,4177.76
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.434539
design__instance__utilization__stdcell,0.434539
design__instance__count__class:inverter,17
design__instance__count__class:sequential_cell,60
design__instance__count__class:multi_input_combinational_cell,150
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,774
design__instance__count__class:tap_cell,126
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,7
design__io__hpwl,506451
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,5799.5
design__violations,0
design__instance__count__class:timing_repair_buffer,96
design__instance__count__class:clock_buffer,14
design__instance__count__class:clock_inverter,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,69
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,336
route__net__special,2
route__drc_errors__iter:1,93
route__wirelength__iter:1,6432
route__drc_errors__iter:2,33
route__wirelength__iter:2,6381
route__drc_errors__iter:3,35
route__wirelength__iter:3,6420
route__drc_errors__iter:4,0
route__wirelength__iter:4,6422
route__drc_errors,0
route__wirelength,6422
route__vias,2151
route__vias__singlecut,2151
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,162.16
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25493627375169575
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25493627375169575
timing__hold__ws__corner:min_tt_025C_1v80,0.3150333971748598
timing__setup__ws__corner:min_tt_025C_1v80,2498.719893720567
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.315033
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
