net,length_um
_105_,129.05µm
clknet_2_1__leaf_clk_i,126.62µm
net19,124.24µm
net13,115.84µm
net17,115.47µm
num_i_bar\[1\],102.36µm
clknet_2_0__leaf_clk_i,97.58µm
net10,89.81µm
net9,80.16µm
net8,80.115µm
clknet_2_3__leaf_clk_i,78.1µm
net16,77.95µm
clknet_2_2__leaf_clk_i,75.88µm
clknet_0_clk_i,72.48µm
net11,69.5µm
net14,69.32µm
net12,65.22µm
net7,62.68µm
clk_i,57.49µm
net18,56.61µm
_107_,50.48µm
rng_dp.inst.next_num_o\[1\],49.74µm
rng_dp.inst.next_num_o\[0\],47.78µm
net15,44.5µm
rng_dp.seed_sel_i\[0\],43.6µm
net5,42.935µm
net4,41.54µm
num_i_bar\[2\],40.66µm
_071_,40.4µm
rng_dp.seed_sel_i\[1\],39.72µm
_102_,38.75µm
rng_rd.mem\[5\]\[2\],33.18µm
_055_,31.5µm
_108_,31.06µm
rng_rd.vld\[3\],30.02µm
net38,29.7µm
_065_,29.04µm
rng_rd.mem\[2\]\[1\],28.48µm
rng_dp.inst.next_num_o\[2\],28.43µm
_049_,28.22µm
rng_rd.mem\[6\]\[0\],27.14µm
_077_,26.92µm
_109_,26.74µm
rng_rd.vld\[2\],26.58µm
_001_,25.46µm
rng_rd.mem\[5\]\[0\],25.22µm
rng_rd.mem\[6\]\[1\],25.1µm
_080_,23.88µm
rng_rd.mem\[7\]\[0\],23.46µm
rng_rd.vld\[1\],23.24µm
_086_,23.14µm
net31,22.26µm
rng_rd.mem\[1\]\[1\],22.16µm
_084_,21.26µm
_085_,21.24µm
rng_rd.mem\[2\]\[2\],19.92µm
rng_rd.mem\[4\]\[2\],19.42µm
rng_rd.mem\[2\]\[0\],19.32µm
rng_rd.mem\[1\]\[0\],18.94µm
_066_,18.74µm
_078_,18.43µm
rng_rd.mem\[3\]\[1\],17.98µm
_103_,17.6µm
_062_,17.52µm
_087_,17.42µm
_053_,17.34µm
rng_rd.vld\[5\],17.32µm
rng_rd.mem\[5\]\[1\],16.94µm
net68,16.94µm
_048_,16.8µm
net55,16.54µm
rng_rd.mem\[6\]\[2\],16.1µm
rng_rd.vld\[0\],15.76µm
_059_,15.2µm
_045_,14.92µm
net45,14.66µm
_098_,14.58µm
rng_rd.mem\[4\]\[1\],14.48µm
_083_,14.3µm
net21,14.04µm
net2,13.96µm
_050_,13.9µm
_079_,13.14µm
net6,13.14µm
net53,13.1µm
rng_rd.mem\[4\]\[0\],12.92µm
net29,12.9µm
net50,12.84µm
