net,length_um
net11,123.22µm
net12,111.82µm
net14,109.96µm
net7,106.25µm
net8,99.39µm
net9,94.32µm
rng_rd.cache\[2\],91.54µm
clknet_2_0__leaf_clk_i,83.94µm
net16,83.57µm
rng_rd.cache\[1\],81.94µm
clknet_2_1__leaf_clk_i,80.56µm
net10,78.94µm
clknet_2_2__leaf_clk_i,74.48µm
net13,74.36µm
clknet_0_clk_i,63.46µm
net15,56.26µm
clknet_2_3__leaf_clk_i,50.38µm
clk_i,47.45µm
net2,44.34µm
rng_rd.ram_1\[2\],38.78µm
rng_rd.ram_5\[1\],36.76µm
_037_,35µm
rng_rd.cache\[0\],34.18µm
net6,30.7µm
rng_rd.ram_3\[1\],26.5µm
num_i_bar\[0\],26.26µm
_077_,25.46µm
net3,24.38µm
rng_rd.ram_2\[2\],24.11µm
net5,22.86µm
rng_rd.ram_4\[1\],22.78µm
net4,22.7µm
_042_,22.42µm
rng_rd.ram_1\[0\],22.18µm
rng_rd.wr_pulse,21.905µm
rng_rd.ram_5\[2\],21.66µm
_034_,20.82µm
rng_rd.ram_5\[0\],20.76µm
rng_rd.ram_4\[2\],20.32µm
net40,20.12µm
_045_,19.78µm
rng_rd.ram_6\[1\],19.44µm
rng_rd.ram_6\[2\],19.16µm
net30,18.68µm
req_num_again,17.92µm
rng_rd.ram_7\[0\],17.72µm
rng_rd.ram_7\[2\],17.44µm
rng_rd.ram_6\[0\],17.32µm
_057_,15.34µm
_072_,14.98µm
num_i_bar\[1\],14.84µm
rng_rd.ram_3\[2\],14.34µm
_050_,14.1µm
_061_,13.22µm
rng_rd.ram_2\[0\],13.22µm
net39,13.22µm
_008_,12.76µm
_048_,11.86µm
_076_,11.7µm
rng_rd.ram_2\[1\],11.7µm
_053_,11.46µm
_059_,11.38µm
net42,11.36µm
net48,11.36µm
_029_,10.9µm
net33,10.9µm
net38,10.9µm
net1,10.88µm
net20,10.78µm
net18,10.7µm
_060_,10.68µm
rng_rd.wr_ff1,9.44µm
_019_,9.02µm
num_to_send_o[0],8.47µm
_071_,8.44µm
_069_,8.4µm
net19,8.14µm
_038_,8.02µm
net49,7.92µm
_067_,7.885µm
_051_,7.88µm
_066_,7.86µm
net35,7.84µm
_046_,7.72µm
_040_,7.7µm
rng_rd.ram_7\[1\],7.32µm
_075_,7.26µm
_020_,7.24µm
_007_,7.18µm
_056_,7.18µm
_070_,7.065µm
net44,7µm
_022_,6.88µm
net32,6.88µm
rng_rd.ram_3\[0\],6.62µm
_002_,6.48µm
_006_,6.26µm
_054_,6.26µm
rng_rd.ram_1\[1\],6.26µm
_035_,6.24µm
net47,6.14µm
_014_,5.96µm
_080_,5.94µm
_073_,5.86µm
_010_,5.84µm
_033_,5.815µm
net55,5.72µm
req_num_i,5.63µm
net34,5.56µm
_001_,5.46µm
_025_,5.46µm
_028_,5.44µm
_052_,5.4µm
net29,5.34µm
_063_,5.28µm
num_to_send_o[1],5.07µm
net50,5.06µm
net43,5.04µm
net24,4.92µm
net31,4.88µm
rng_rd.wr_ff2_d,4.8µm
net36,4.76µm
net21,4.7µm
_021_,4.58µm
_015_,4.54µm
_018_,4.54µm
_055_,4.54µm
_009_,4.42µm
num_to_send_o[2],4.39µm
num_i_bar\[2\],4.34µm
wr_i,4.27µm
net54,4.24µm
_023_,4.08µm
_032_,4.02µm
_016_,4µm
_017_,4µm
_024_,4µm
_064_,4µm
rst_i,3.93µm
_005_,3.9µm
_036_,3.89µm
_065_,3.68µm
_000_,3.66µm
rng_rd.ram_4\[0\],3.64µm
_039_,3.54µm
_062_,3.42µm
net22,3.42µm
net25,3.22µm
_011_,3.2µm
_041_,3.1µm
net53,2.96µm
net26,2.84µm
net45,2.84µm
_012_,2.62µm
_030_,2.62µm
net27,2.62µm
net37,2.62µm
_044_,2.4µm
_043_,2.3µm
net28,2.3µm
net41,2.3µm
_003_,2.28µm
_013_,2.28µm
_027_,2.28µm
_078_,2.28µm
_004_,2.18µm
_068_,2.18µm
net17,2.16µm
_047_,2.04µm
net23,2.04µm
_074_,1.95µm
_058_,1.84µm
rng_rd.wr_ff2,1.84µm
net51,1.84µm
net52,1.84µm
_026_,1.82µm
_079_,1.725µm
_031_,1.26µm
net46,1.02µm
_049_,0.8µm
