Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_113,VGND,li1,60.2600,70.7200,0.000000
FILLER_22_111,VGND,li1,56.8100,70.7200,0.000000
FILLER_22_109,VGND,li1,56.1200,70.7200,0.000000
FILLER_22_97,VGND,li1,52.9000,70.7200,0.000000
FILLER_22_85,VGND,li1,47.3800,70.7200,0.000000
FILLER_22_83,VGND,li1,43.9300,70.7200,0.000000
FILLER_22_81,VGND,li1,43.2400,70.7200,0.000000
FILLER_22_69,VGND,li1,40.0200,70.7200,0.000000
FILLER_22_57,VGND,li1,34.5000,70.7200,0.000000
FILLER_22_55,VGND,li1,31.0500,70.7200,0.000000
FILLER_22_53,VGND,li1,30.3600,70.7200,0.000000
FILLER_22_41,VGND,li1,27.1400,70.7200,0.000000
FILLER_22_29,VGND,li1,21.6200,70.7200,0.000000
FILLER_22_27,VGND,li1,18.1700,70.7200,0.000000
FILLER_22_15,VGND,li1,15.1800,70.7200,0.000000
FILLER_22_3,VGND,li1,9.6600,70.7200,0.000000
FILLER_21_113,VGND,li1,60.2600,70.7200,0.000000
FILLER_21_111,VGND,li1,56.8100,70.7200,0.000000
FILLER_21_109,VGND,li1,56.1200,70.7200,0.000000
FILLER_21_105,VGND,li1,54.7400,70.7200,0.000000
FILLER_21_93,VGND,li1,51.0600,70.7200,0.000000
FILLER_21_81,VGND,li1,45.5400,70.7200,0.000000
FILLER_21_69,VGND,li1,40.0200,70.7200,0.000000
FILLER_21_61,VGND,li1,34.0400,70.7200,0.000000
FILLER_21_57,VGND,li1,32.6600,70.7200,0.000000
FILLER_21_55,VGND,li1,31.0500,70.7200,0.000000
FILLER_21_46,VGND,li1,26.9100,70.7200,0.000000
FILLER_21_44,VGND,li1,26.2200,70.7200,0.000000
FILLER_21_36,VGND,li1,23.9200,70.7200,0.000000
FILLER_21_15,VGND,li1,12.6500,70.7200,0.000000
FILLER_21_3,VGND,li1,9.6600,70.7200,0.000000
FILLER_20_121,VGND,li1,62.1000,65.2800,0.000000
FILLER_20_109,VGND,li1,58.4200,65.2800,0.000000
FILLER_20_97,VGND,li1,52.9000,65.2800,0.000000
FILLER_20_85,VGND,li1,47.3800,65.2800,0.000000
FILLER_20_82,VGND,li1,43.7000,65.2800,0.000000
FILLER_20_74,VGND,li1,41.4000,65.2800,0.000000
FILLER_20_65,VGND,li1,35.6500,65.2800,0.000000
FILLER_20_63,VGND,li1,34.9600,65.2800,0.000000
FILLER_20_41,VGND,li1,24.8400,65.2800,0.000000
FILLER_20_37,VGND,li1,23.4600,65.2800,0.000000
FILLER_20_24,VGND,li1,17.4800,65.2800,0.000000
FILLER_20_3,VGND,li1,7.1300,65.2800,0.000000
