Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_113,VPWR,li1,60.2600,73.4400,1.800000
FILLER_22_111,VPWR,li1,56.8100,73.4400,1.800000
FILLER_22_109,VPWR,li1,56.1200,73.4400,1.800000
FILLER_22_97,VPWR,li1,52.9000,73.4400,1.800000
FILLER_22_85,VPWR,li1,47.3800,73.4400,1.800000
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.800000
FILLER_22_81,VPWR,li1,43.2400,73.4400,1.800000
FILLER_22_69,VPWR,li1,40.0200,73.4400,1.800000
FILLER_22_57,VPWR,li1,34.5000,73.4400,1.800000
FILLER_22_55,VPWR,li1,31.0500,73.4400,1.800000
FILLER_22_53,VPWR,li1,30.3600,73.4400,1.800000
FILLER_22_41,VPWR,li1,27.1400,73.4400,1.800000
FILLER_22_29,VPWR,li1,21.6200,73.4400,1.800000
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.800000
FILLER_22_15,VPWR,li1,15.1800,73.4400,1.800000
FILLER_22_3,VPWR,li1,9.6600,73.4400,1.800000
FILLER_21_113,VPWR,li1,60.2600,68.0000,1.800000
FILLER_21_111,VPWR,li1,56.8100,68.0000,1.800000
FILLER_21_109,VPWR,li1,56.1200,68.0000,1.800000
FILLER_21_105,VPWR,li1,54.7400,68.0000,1.800000
FILLER_21_93,VPWR,li1,51.0600,68.0000,1.800000
FILLER_21_81,VPWR,li1,45.5400,68.0000,1.800000
FILLER_21_69,VPWR,li1,40.0200,68.0000,1.800000
FILLER_21_61,VPWR,li1,34.0400,68.0000,1.800000
FILLER_21_57,VPWR,li1,32.6600,68.0000,1.800000
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.800000
FILLER_21_46,VPWR,li1,26.9100,68.0000,1.800000
FILLER_21_44,VPWR,li1,26.2200,68.0000,1.800000
FILLER_21_36,VPWR,li1,23.9200,68.0000,1.800000
FILLER_21_15,VPWR,li1,12.6500,68.0000,1.800000
FILLER_21_3,VPWR,li1,9.6600,68.0000,1.800000
FILLER_20_121,VPWR,li1,62.1000,68.0000,1.800000
FILLER_20_109,VPWR,li1,58.4200,68.0000,1.800000
FILLER_20_97,VPWR,li1,52.9000,68.0000,1.800000
FILLER_20_85,VPWR,li1,47.3800,68.0000,1.800000
FILLER_20_82,VPWR,li1,43.7000,68.0000,1.800000
FILLER_20_74,VPWR,li1,41.4000,68.0000,1.800000
FILLER_20_65,VPWR,li1,35.6500,68.0000,1.800000
FILLER_20_63,VPWR,li1,34.9600,68.0000,1.800000
FILLER_20_41,VPWR,li1,24.8400,68.0000,1.800000
FILLER_20_37,VPWR,li1,23.4600,68.0000,1.800000
FILLER_20_24,VPWR,li1,17.4800,68.0000,1.800000
FILLER_20_3,VPWR,li1,7.1300,68.0000,1.800000
FILLER_19_113,VPWR,li1,60.2600,62.5600,1.800000
FILLER_19_110,VPWR,li1,56.5800,62.5600,1.800000
FILLER_19_106,VPWR,li1,55.2000,62.5600,1.800000
FILLER_19_94,VPWR,li1,51.5200,62.5600,1.800000
FILLER_19_82,VPWR,li1,46.0000,62.5600,1.800000
FILLER_19_61,VPWR,li1,33.8100,62.5600,1.800000
FILLER_19_57,VPWR,li1,32.6600,62.5600,1.800000
FILLER_19_54,VPWR,li1,30.8200,62.5600,1.800000
FILLER_19_50,VPWR,li1,29.4400,62.5600,1.800000
FILLER_19_3,VPWR,li1,7.1300,62.5600,1.800000
FILLER_18_121,VPWR,li1,62.1000,62.5600,1.800000
FILLER_18_109,VPWR,li1,58.4200,62.5600,1.800000
FILLER_18_97,VPWR,li1,52.9000,62.5600,1.800000
FILLER_18_85,VPWR,li1,47.3800,62.5600,1.800000
FILLER_18_72,VPWR,li1,41.4000,62.5600,1.800000
FILLER_18_51,VPWR,li1,29.2100,62.5600,1.800000
FILLER_18_49,VPWR,li1,28.5200,62.5600,1.800000
FILLER_18_26,VPWR,li1,17.9400,62.5600,1.800000
FILLER_17_113,VPWR,li1,60.2600,57.1200,1.799999
FILLER_17_111,VPWR,li1,56.8100,57.1200,1.799999
FILLER_17_109,VPWR,li1,56.1200,57.1200,1.799999
FILLER_17_101,VPWR,li1,53.8200,57.1200,1.799999
FILLER_17_77,VPWR,li1,43.7000,57.1200,1.799999
FILLER_17_66,VPWR,li1,36.8000,57.1200,1.799999
FILLER_17_57,VPWR,li1,31.9700,57.1200,1.799999
FILLER_17_55,VPWR,li1,31.0500,57.1200,1.799999
FILLER_17_47,VPWR,li1,28.9800,57.1200,1.799999
FILLER_16_124,VPWR,li1,62.7900,57.1200,1.799999
FILLER_16_120,VPWR,li1,61.6400,57.1200,1.799999
FILLER_16_85,VPWR,li1,45.0800,57.1200,1.799999
FILLER_16_56,VPWR,li1,33.1200,57.1200,1.799999
FILLER_16_46,VPWR,li1,27.6000,57.1200,1.799999
FILLER_16_3,VPWR,li1,7.1300,57.1200,1.799999
FILLER_15_57,VPWR,li1,31.9700,51.6800,1.799999
FILLER_15_44,VPWR,li1,26.6800,51.6800,1.799999
FILLER_15_17,VPWR,li1,13.5700,51.6800,1.800000
FILLER_15_15,VPWR,li1,12.8800,51.6800,1.800000
FILLER_15_3,VPWR,li1,9.6600,51.6800,1.800000
FILLER_14_123,VPWR,li1,62.5600,51.6800,1.799999
FILLER_14_102,VPWR,li1,52.6700,51.6800,1.799999
FILLER_14_49,VPWR,li1,28.2900,51.6800,1.799999
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.800000
FILLER_14_23,VPWR,li1,17.0200,51.6800,1.800000
FILLER_13_124,VPWR,li1,62.7900,46.2400,1.799999
FILLER_13_122,VPWR,li1,62.1000,46.2400,1.799999
FILLER_13_101,VPWR,li1,52.2100,46.2400,1.799999
FILLER_13_97,VPWR,li1,51.0600,46.2400,1.799999
FILLER_13_35,VPWR,li1,21.8500,46.2400,1.800000
FILLER_13_33,VPWR,li1,21.1600,46.2400,1.800000
FILLER_13_25,VPWR,li1,18.8600,46.2400,1.800000
FILLER_13_13,VPWR,li1,14.2600,46.2400,1.800000
FILLER_13_9,VPWR,li1,9.8900,46.2400,1.800000
FILLER_13_7,VPWR,li1,9.2000,46.2400,1.800000
FILLER_13_3,VPWR,li1,7.8200,46.2400,1.800000
FILLER_12_116,VPWR,li1,59.1100,46.2400,1.799999
FILLER_12_114,VPWR,li1,58.4200,46.2400,1.799999
FILLER_12_110,VPWR,li1,57.0400,46.2400,1.799999
FILLER_12_85,VPWR,li1,45.0800,46.2400,1.799999
FILLER_12_83,VPWR,li1,43.9300,46.2400,1.799999
FILLER_12_33,VPWR,li1,20.9300,46.2400,1.800000
FILLER_12_29,VPWR,li1,19.7800,46.2400,1.800000
FILLER_12_27,VPWR,li1,18.1700,46.2400,1.800000
FILLER_12_25,VPWR,li1,17.4800,46.2400,1.800000
FILLER_12_15,VPWR,li1,12.8800,46.2400,1.800000
FILLER_12_3,VPWR,li1,9.6600,46.2400,1.800000
FILLER_11_124,VPWR,li1,62.7900,40.8000,1.799999
FILLER_11_122,VPWR,li1,62.1000,40.8000,1.799999
FILLER_11_103,VPWR,li1,53.1300,40.8000,1.799999
FILLER_11_99,VPWR,li1,51.9800,40.8000,1.799999
FILLER_11_93,VPWR,li1,48.5300,40.8000,1.799999
FILLER_11_89,VPWR,li1,47.3800,40.8000,1.799999
FILLER_11_57,VPWR,li1,31.9700,40.8000,1.799999
FILLER_11_52,VPWR,li1,30.3600,40.8000,1.799999
FILLER_11_40,VPWR,li1,26.6800,40.8000,1.799999
FILLER_11_5,VPWR,li1,8.0500,40.8000,1.800000
FILLER_11_3,VPWR,li1,7.3600,40.8000,1.800000
